שם צבע (Color Name),קוד צבע (Color Code),RGB,HEX
SPRING FROG,0853A,"rgb(95,155,124)",#5F9B7C
Flower Stem,0854A,"rgb(50,131,96)",#328360
Snow Maiden,0855P,"rgb(211,224,218)",#D3E0DA
Cape May,0856P,"rgb(191,218,209)",#BFDAD1
Blue Retreat,0857P,"rgb(162,204,192)",#A2CCC0
Zenith Teal,0858T,"rgb(136,190,176)",#88BEB0
KEY WEST,0859T/A,"rgb(108,174,157)",#6CAE9D
HEADWATERS,0860A,"rgb(79,153,135)",#4F9987
Barbados Bay,0861A,"rgb(16,132,110)",#10846E
Micromint,0862P,"rgb(213,226,222)",#D5E2DE
Sparkling Water,0863P,"rgb(188,217,212)",#BCD9D4
Teal Bubble,0864P,"rgb(164,204,198)",#A4CCC6
Himalaya Sky,0865T,"rgb(139,191,183)",#8BBFB7
Drifting Tide,0866T,"rgb(105,175,168)",#69AFA8
GREEN SWEEP,0867A,"rgb(66,154,145)",#429A91
Scuba Duba,0868A,"rgb(6,130,119)",#068277
California&#39;s Dreaming,0869P,"rgb(213,227,224)",#D5E3E0
Pastel Tint,0870P,"rgb(189,213,210)",#BDD5D2
Misted Aqua,0871P,"rgb(157,203,202)",#9DCBCA
IMPRESSIONIST&#39;S SKY,0872T,"rgb(136,192,191)",#88C0BF
Mermaid Jewel,0873T,"rgb(102,176,175)",#66B0AF
SEA GARDEN,0874A,"rgb(64,154,155)",#409A9B
Bay Bridge,0875A,"rgb(0,132,132)",#008484
Desert Spring,0876P,"rgb(207,211,198)",#CFD3C6
Fortune’s Prize,0877P,"rgb(190,197,178)",#BEC5B2
Just Kiwi,0878T,"rgb(175,184,158)",#AFB89E
Time and Again,0879T,"rgb(155,167,135)",#9BA787
CHIC SHADE,0880A,"rgb(138,153,116)",#8A9974
Greenwich,0881A,"rgb(123,141,96)",#7B8D60
Mulberry Leaf,0882A,"rgb(111,129,84)",#6F8154
Translucent Vision,0883P,"rgb(204,213,201)",#CCD5C9
COMING MY WAY,0884P/T,"rgb(181,196,179)",#B5C4B3
NATURE&#39;S ABUNDANCE,0885T,"rgb(162,182,160)",#A2B6A0
PRAIRIE SPLENDOR,0886T/A,"rgb(146,167,140)",#92A78C
ORNAMENTAL GARDENS,0887A,"rgb(128,152,120)",#809878
Squaw Valley,0888A,"rgb(109,138,102)",#6D8A66
DRAGON&#39;S HIDE,0889A,"rgb(94,124,80)",#5E7C50
Touch of Spring,0890P,"rgb(203,215,204)",#CBD7CC
SERENE OASIS,0891P/T,"rgb(179,198,183)",#B3C6B7
Her Duchess,0892T,"rgb(159,183,164)",#9FB7A4
PERENNIAL,0893T/A,"rgb(136,165,142)",#88A58E
GREEN SHRUB,0894A,"rgb(116,151,124)",#74977C
Ground Cover,0895A,"rgb(97,134,103)",#618667
Hollyhock Garden,0896A,"rgb(73,121,84)",#497954
Rainforest Dew,0897P,"rgb(201,214,206)",#C9D6CE
TRANSCENDENT,0898P/T,"rgb(179,199,188)",#B3C7BC
Terrace Green,0899T,"rgb(150,180,165)",#96B4A5
ASPEN FOREST,0900T/A,"rgb(128,164,147)",#80A493
CYPRUS GARDEN,0901A,"rgb(105,146,127)",#69927F
Caring Land,0902A,"rgb(81,129,106)",#51816A
HUNTER&#39;S PRAIRIE,0903A,"rgb(59,113,86)",#3B7156
Wintergreen Mist,0904P,"rgb(199,215,210)",#C7D7D2
POWDERED FERN,0905P/T,"rgb(169,196,189)",#A9C4BD
Rolling Hills,0906T,"rgb(147,180,172)",#93B4AC
Lazy Day,0907T,"rgb(124,163,152)",#7CA398
PLEASANT PASTURE,0908A,"rgb(103,146,135)",#679287
Green Maiden,0909A,"rgb(76,130,116)",#4C8274
Jungle Book,0910A,"rgb(51,113,97)",#337161
Mediterranean Mist,0911P,"rgb(199,217,213)",#C7D9D5
OCEAN MIST,0912P/T,"rgb(172,198,194)",#ACC6C2
Evening Stroll,0913T,"rgb(146,180,174)",#92B4AE
YOU&#39;RE A STAR,0914T,"rgb(122,166,161)",#7AA6A1
STAIRWAY TO HEAVEN,0915A,"rgb(98,147,141)",#62938D
Peggy&#39;s Cove,0916A,"rgb(70,132,125)",#46847D
Caribbean Current,0917A,"rgb(34,113,105)",#227169
West Coast Mist,0918P,"rgb(197,214,212)",#C5D6D4
AQUA PURA,0919P/T,"rgb(167,197,196)",#A7C5C4
Singing in the Rain,0920T,"rgb(145,180,180)",#91B4B4
Lighthouse View,0921T,"rgb(119,163,164)",#77A3A4
INTO THE MYSTIC,0922A,"rgb(95,148,147)",#5F9493
WAVE CREST,0923A,"rgb(69,131,132)",#458384
More Oceans,0924A,"rgb(33,115,116)",#217374
Irish Touch,0925P,"rgb(197,201,188)",#C5C9BC
MINI GREEN,0926P/T,"rgb(180,186,171)",#B4BAAB
Touch of Mint,0927T,"rgb(163,171,154)",#A3AB9A
CITY OF GREEN,0928T/A,"rgb(147,156,136)",#939C88
SPRING FOREST,0929A,"rgb(131,139,115)",#838B73
Scottish Summer,0930A,"rgb(113,123,96)",#717B60
Juniper Forest,0931A,"rgb(100,108,74)",#646C4A
Shutter Green,0932P,"rgb(196,203,191)",#C4CBBF
MINT JULIP,0933P/T,"rgb(176,186,171)",#B0BAAB
Green Moor,0934T,"rgb(157,169,154)",#9DA99A
NEW LAWN,0935T/A,"rgb(139,153,136)",#8B9988
COOL GRASS,0936A,"rgb(121,135,114)",#798772
Western Meadow,0937A,"rgb(104,121,96)",#687960
Majestic Mountain,0938A,"rgb(84,105,76)",#54694C
Filtered Forest,0939P,"rgb(190,203,192)",#BECBC0
GRACEFUL GREEN,0940P/T,"rgb(170,183,172)",#AAB7AC
Camille,0941T,"rgb(151,168,156)",#97A89C
KELLY KEY,0942T/A,"rgb(135,152,138)",#87988A
CHEERFUL GREEN,0943A,"rgb(112,133,116)",#708574
Jumping Jiminy,0944A,"rgb(96,120,100)",#607864
Conifer,0945A,"rgb(77,103,80)",#4D6750
Gentle Caress,0946P,"rgb(191,206,197)",#BFCEC5
HINT OF MINT,0947P/T,"rgb(167,184,176)",#A7B8B0
Rain Puddle,0948T,"rgb(147,167,156)",#93A79C
SHADY,0949T/A,"rgb(129,150,139)",#81968B
GREEN SONG,0950A,"rgb(108,134,120)",#6C8678
Forest Found,0951A,"rgb(89,118,103)",#597667
Vineyard Green,0952A,"rgb(70,102,85)",#466655
Jade Glow,0953P,"rgb(190,205,198)",#BECDC6
TEAL TOWER,0954P/T,"rgb(166,184,179)",#A6B8B3
Two for Teal,0955T,"rgb(148,169,164)",#94A9A4
BLEU VERTE,0956T/A,"rgb(125,151,145)",#7D9791
MISTY MAGIC,0957A,"rgb(106,135,128)",#6A8780
Abbey Garden,0958A,"rgb(85,117,107)",#55756B
Emerald Shimmer,0959A,"rgb(60,99,88)",#3C6358
Seafoam Mist,0960P,"rgb(187,203,200)",#BBCBC8
Aqua Dream,0961T,"rgb(162,182,180)",#A2B6B4
Sea Sphinx,0962T,"rgb(143,167,165)",#8FA7A5
ABSTRACT AQUA,0963T/A,"rgb(124,149,145)",#7C9591
WATERY SEA,0964A,"rgb(99,131,127)",#63837F
Worn Sea Glass,0965A,"rgb(82,117,112)",#527570
Deep Sea Dive,0966A,"rgb(56,100,95)",#38645F
Bali Bay,0967P,"rgb(188,207,206)",#BCCFCE
TUMBLING WATERFALLS,0968P/T,"rgb(163,185,186)",#A3B9BA
Filtered Aqua,0969T,"rgb(142,168,167)",#8EA8A7
Smooth Waters,0970T,"rgb(124,150,150)",#7C9696
SEA LYRIC,0971A,"rgb(100,134,134)",#648686
Regatta Race,0972A,"rgb(80,117,118)",#507576
Sea Quarry,0973A,"rgb(55,101,102)",#376566
White Opal,0974P,"rgb(185,189,178)",#B9BDB2
Cloverdale,0975T,"rgb(167,172,163)",#A7ACA3
MIDLAND&#39;S MARSH,0976T,"rgb(152,156,145)",#989C91
OCEAN GROTTO,0977A,"rgb(134,139,127)",#868B7F
GREEN FOG,0978A,"rgb(114,120,108)",#72786C
Garden Hedge,0979A,"rgb(97,104,89)",#616859
Garden Seat,0980A,"rgb(84,90,73)",#545A49
Cucumber Flesh,0981P,"rgb(186,194,185)",#BAC2B9
Dried Mint,0982T,"rgb(163,171,162)",#A3ABA2
Briar Green,0983T,"rgb(146,156,146)",#929C92
DILLY,0984A,"rgb(125,136,126)",#7D887E
ALLIGATOR,0985A,"rgb(111,121,110)",#6F796E
Olive,0986A,"rgb(95,105,91)",#5F695B
Deep Dragon,0987A,"rgb(78,87,72)",#4E5748
Petite White,0988P,"rgb(183,193,184)",#B7C1B8
Evening Glade,0989T,"rgb(161,171,164)",#A1ABA4
Elfin Magic,0990T,"rgb(144,157,149)",#909D95
GREEN STONE,0991T/A,"rgb(125,138,129)",#7D8A81
FEATHER FERNS,0992A,"rgb(110,119,110)",#6E776E
Moss Touch,0993A,"rgb(89,101,91)",#59655B
Jungle Adventure,0994A,"rgb(72,86,74)",#48564A
Aqueous,0995P,"rgb(181,194,187)",#B5C2BB
Tingle Green,0996T,"rgb(156,171,165)",#9CABA5
Maison Verte,0997T,"rgb(144,156,150)",#909C96
MISTY MOUNTAIN,0998T/A,"rgb(121,136,130)",#798882
MOHALA,0999A,"rgb(105,120,114)",#697872
Octavius,1000A,"rgb(87,103,96)",#576760
Mount Everest,1001A,"rgb(69,85,75)",#45554B
Crystal Ball,1002P,"rgb(177,192,187)",#B1C0BB
Silent Sea,1003T,"rgb(159,173,168)",#9FADA8
Julianne Jade,1004T,"rgb(140,157,153)",#8C9D99
EVENING GRASS,1005T/A,"rgb(118,136,131)",#768883
RIDGE,1006A,"rgb(101,119,114)",#657772
Night Whisper,1007A,"rgb(89,104,100)",#596864
Monsoon Lagoon,1008A,"rgb(65,86,80)",#415650
Sea Ghost,1009P,"rgb(175,192,189)",#AFC0BD
Ocean Fog,1010T,"rgb(157,173,172)",#9DADAC
Spruce,1011T,"rgb(137,156,155)",#899C9B
GARDEN CITY,1012A,"rgb(119,136,135)",#778887
GARDEN SHADE,1013A,"rgb(101,118,116)",#657674
Rogue,1014A,"rgb(83,102,100)",#536664
Amazon Jungle,1015A,"rgb(64,83,79)",#40534F
Slate Tint,1016P,"rgb(175,191,191)",#AFBFBF
Drifting Skies,1017T,"rgb(157,173,173)",#9DADAD
Grenville,1018T,"rgb(136,154,155)",#889A9B
MAUI BEACH,1019T/A,"rgb(118,135,136)",#768788
DISTANT STORM,1020A,"rgb(100,118,118)",#647676
NIGHT&#39;S DELIGHT,1021A,"rgb(80,100,100)",#506464
Cape Cliffs,1022A,"rgb(63,82,82)",#3F5252
Diamond White,1023P,"rgb(222,230,228)",#DEE6E4
Swandive,1024P,"rgb(198,225,224)",#C6E1E0
Single Feather,1025P,"rgb(165,214,217)",#A5D6D9
WHAT AN ISPIRATION,1026P/T,"rgb(135,204,212)",#87CCD4
Granada Bay,1027T,"rgb(100,190,201)",#64BEC9
NEON BLUE,1028A,"rgb(45,168,182)",#2DA8B6
Galaxy Blue,1029A,"rgb(0,140,157)",#008C9D
Captivate,1030P,"rgb(217,229,228)",#D9E5E4
Niblet,1031P,"rgb(199,224,226)",#C7E0E2
Soft Sail,1032P,"rgb(169,214,224)",#A9D6E0
BLUE BOTTLE BLUE,1033P/T,"rgb(138,203,219)",#8ACBDB
Golden Rain,1034T,"rgb(105,187,204)",#69BBCC
SPORTY BLUE,1035A,"rgb(51,161,185)",#33A1B9
Triumph Blue,1036A,"rgb(0,139,167)",#008BA7
DIAMOND STUD,1037P,"rgb(217,227,228)",#D9E3E4
Snowshow,1038P,"rgb(202,224,228)",#CAE0E4
Blue Bells,1039P,"rgb(180,215,228)",#B4D7E4
BLUE WING,1040P/T,"rgb(143,202,222)",#8FCADE
Blue for You,1041T,"rgb(109,185,212)",#6DB9D4
ANGELA BAY,1042T/A,"rgb(59,163,195)",#3BA3C3
Monet Magic,1043A,"rgb(0,136,172)",#0088AC
Heavenly Dew,1044P,"rgb(218,226,227)",#DAE2E3
Fern Tip,1045P,"rgb(201,221,227)",#C9DDE3
ATHENA&#39;S DREAM,1046P,"rgb(178,211,227)",#B2D3E3
SURFING SARAH,1047P/T,"rgb(148,199,222)",#94C7DE
Cullen Cove,1048T,"rgb(112,181,212)",#70B5D4
DAVEY WAVEY,1049T/A,"rgb(63,160,197)",#3FA0C5
Pristine Blue,1050A,"rgb(0,129,174)",#0081AE
Sheer Green,1051P,"rgb(220,226,228)",#DCE2E4
Powdered Blue,1052P,"rgb(204,221,228)",#CCDDE4
Mamello,1053P,"rgb(182,209,226)",#B6D1E2
Blue Sky,1054P,"rgb(153,197,224)",#99C5E0
Blue Bay,1055T,"rgb(121,181,217)",#79B5D9
DYLAN#S BLUE,1056A,"rgb(70,151,195)",#4697C3
North Sea,1057A,"rgb(0,123,173)",#007BAD
Cloud Number Nine,1058P,"rgb(218,223,226)",#DADFE2
Blue Bliss,1059P,"rgb(210,219,227)",#D2DBE3
Sheila&#39;s Promise,1060P,"rgb(182,204,225)",#B6CCE1
PERIWINKLE PALACE,1061P/T,"rgb(158,188,220)",#9EBCDC
Greensheen,1062T,"rgb(122,165,205)",#7AA5CD
LOVE BIRD,1063T/A,"rgb(85,143,193)",#558FC1
Greek Island,1064A,"rgb(37,115,172)",#2573AC
Tiny Leaf,1065P,"rgb(219,222,226)",#DBDEE2
Snow Iris,1066P,"rgb(208,215,226)",#D0D7E2
China Cup,1067P,"rgb(190,203,225)",#BECBE1
DUTCH CROCUS,1068P/T,"rgb(164,184,220)",#A4B8DC
Eyes of Iris,1069T,"rgb(137,164,208)",#89A4D0
BLUE VIOLET RAY,1070T/A,"rgb(98,135,190)",#6287BE
Saphire,1071A,"rgb(55,106,165)",#376AA5
Prism,1072P,"rgb(206,222,220)",#CEDEDC
Pottery Blue,1073P,"rgb(185,215,216)",#B9D7D8
Mystic Fog,1074P,"rgb(162,205,208)",#A2CDD0
Luna Moona,1075T,"rgb(129,188,194)",#81BCC2
Azurean Sea,1076T,"rgb(103,173,181)",#67ADB5
NOBLE BLUE,1077A,"rgb(63,152,163)",#3F98A3
Tuscana Blue,1078A,"rgb(0,123,135)",#007B87
Fluid White,1079P,"rgb(210,224,225)",#D2E0E1
Hidden Stream,1080P,"rgb(184,211,217)",#B8D3D9
Apple Cut,1081P,"rgb(164,201,210)",#A4C9D2
Lime Freeze,1082T,"rgb(133,186,199)",#85BAC7
Luxor,1083T,"rgb(102,171,187)",#66ABBB
MILANO BLUE,1084A,"rgb(60,148,167)",#3C94A7
Indo Grotto,1085A,"rgb(0,126,148)",#007E94
Atmosphere,1086P,"rgb(211,222,225)",#D3DEE1
Bird&#39;s Egg,1087P,"rgb(185,210,219)",#B9D2DB
Tropic Breeze,1088P,"rgb(165,201,214)",#A5C9D6
New Pier,1089T,"rgb(140,188,206)",#8CBCCE
Inuendo,1090T,"rgb(113,169,191)",#71A9BF
WINTER STORM,1091A,"rgb(70,145,172)",#4691AC
Clouded Cover,1092A,"rgb(9,124,152)",#097C98
Windstar,1093P,"rgb(211,222,225)",#D3DEE1
Dreamcacther,1094P,"rgb(189,210,218)",#BDD2DA
Shallot Peel,1095P,"rgb(165,197,212)",#A5C5D4
Southwest Sky,1096T,"rgb(136,182,203)",#88B6CB
Pisces,1097T,"rgb(110,165,191)",#6EA5BF
DREW,1098A,"rgb(75,143,172)",#4B8FAC
North Beach,1099A,"rgb(24,117,152)",#187598
Whimsical White,1100P,"rgb(209,219,224)",#D1DBE0
Jasmine Scent,1101P,"rgb(192,210,221)",#C0D2DD
JAMAICA,1102P,"rgb(168,196,215)",#A8C4D7
Spa Bleu,1103T,"rgb(143,180,205)",#8FB4CD
Slender Stem,1104T,"rgb(116,161,190)",#74A1BE
STORMY BAY,1105A,"rgb(82,137,174)",#5289AE
Atlantic Beach,1106A,"rgb(35,110,152)",#236E98
Bells in the Snow,1107P,"rgb(217,224,229)",#D9E0E5
Space Box,1108P,"rgb(194,208,222)",#C2D0DE
Bellaggio Blue,1109P,"rgb(174,194,215)",#AEC2D7
Velvet Coast,1110T,"rgb(149,175,204)",#95AFCC
Ocean Drive,1111T,"rgb(123,156,191)",#7B9CBF
WINDBLOWN,1112A,"rgb(91,132,173)",#5B84AD
Lapis Blue,1113A,"rgb(51,104,149)",#336895
Mineral Water,1114P,"rgb(217,218,226)",#D9DAE2
Fern Wilt,1115P,"rgb(201,209,224)",#C9D1E0
Cool Idea,1116P,"rgb(178,190,215)",#B2BED7
CHARLIE,1117P/T,"rgb(155,171,201)",#9BABC9
Blue Dale,1118T,"rgb(131,152,190)",#8398BE
DOVER CLIFFS,1119A,"rgb(98,125,167)",#627DA7
Deep Sea Reef,1120A,"rgb(63,96,144)",#3F6090
Amenity,1121P,"rgb(193,213,214)",#C1D5D6
Lazy Afternoon,1122P,"rgb(171,196,198)",#ABC4C6
Lake Placid,1123T,"rgb(138,176,181)",#8AB0B5
Spun Green,1124T,"rgb(118,162,168)",#76A2A8
JUNEAU,1125A,"rgb(92,145,152)",#5C9198
STORMY FORECAST,1126A,"rgb(68,130,138)",#44828A
Dark Sea,1127A,"rgb(38,112,122)",#26707A
Ice Flow,1128P,"rgb(197,213,215)",#C5D5D7
Crystal Sea,1129P,"rgb(171,194,200)",#ABC2C8
JESSIE&#39;S BLUE,1130T,"rgb(146,176,183)",#92B0B7
Casa del Mar,1131T,"rgb(121,161,171)",#79A1AB
MOUNTAIN STREAM,1132T/A,"rgb(98,145,157)",#62919D
ATLANTIS CLIFF,1133A,"rgb(66,125,138)",#427D8A
Atlantic Ocean,1134A,"rgb(39,109,126)",#276D7E
Falling Water,1135P,"rgb(191,209,215)",#BFD1D7
Serene Setting,1136P,"rgb(162,191,200)",#A2BFC8
Westerly,1137T,"rgb(139,172,184)",#8BACB8
Bashful Blue,1138T,"rgb(121,159,173)",#799FAD
STONE COLD,1139A,"rgb(93,138,155)",#5D8A9B
EVENING SHOWER,1140A,"rgb(74,124,144)",#4A7C90
Atlantic Storm,1141A,"rgb(47,109,131)",#2F6D83
In the Rain,1142P,"rgb(197,211,217)",#C5D3D9
Mellow Blue,1143P,"rgb(172,190,200)",#ACBEC8
Shallow Pool,1144T,"rgb(140,170,185)",#8CAAB9
Honky Tonk Blue,1145T,"rgb(120,156,173)",#789CAD
DEEP TIDE,1146T/A,"rgb(95,139,159)",#5F8B9F
GRANITE FALLS,1147A,"rgb(71,122,145)",#477A91
Storm Cloud,1148A,"rgb(45,105,130)",#2D6982
Crushed Ice,1149P,"rgb(200,212,219)",#C8D4DB
Stardust,1150P,"rgb(177,192,204)",#B1C0CC
Overlook,1151T,"rgb(148,173,188)",#94ADBC
Set Sail,1152T,"rgb(124,154,174)",#7C9AAE
PROVIDENCE,1153A,"rgb(102,136,159)",#66889F
DARK SKY,1154A,"rgb(81,117,143)",#51758F
Blue Dephts,1155A,"rgb(55,100,129)",#376481
White Balloon,1156P,"rgb(203,213,221)",#CBD5DD
Mystic Morn,1157P,"rgb(179,191,206)",#B3BFCE
Glint of Aluminium,1158T,"rgb(157,173,192)",#9DADC0
Silver Ingot,1159T,"rgb(130,152,175)",#8298AF
COOL MARBLE,1160A,"rgb(105,133,160)",#6985A0
BLUEPRINT,1161A,"rgb(84,114,143)",#54728F
Oceanos,1162A,"rgb(59,95,128)",#3B5F80
Beacon Fog,1163P,"rgb(206,211,222)",#CED3DE
Luna Light,1164P,"rgb(177,187,203)",#B1BBCB
Smoky Day,1165T,"rgb(158,168,189)",#9EA8BD
Aerospace,1166T,"rgb(136,149,173)",#8895AD
GIFTED,1167A,"rgb(110,128,157)",#6E809D
WHIRLWIND,1168A,"rgb(93,110,142)",#5D6E8E
Eye of the Storm,1169A,"rgb(69,89,124)",#45597C
Tidal Pool,1170P,"rgb(181,200,201)",#B5C8C9
Comfort Blue,1171T,"rgb(158,182,185)",#9EB6B9
Engaging,1172T,"rgb(140,165,169)",#8CA5A9
Scuba Diver,1173T,"rgb(119,148,152)",#779498
DARK JADE,1174A,"rgb(99,130,135)",#638287
BERMUDA SHORE,1175A,"rgb(76,116,120)",#4C7478
Deep Abyss,1176A,"rgb(50,99,104)",#326368
Snow Glory,1177P,"rgb(188,201,205)",#BCC9CD
ADONIS BLUE,1178P/T,"rgb(164,182,187)",#A4B6BB
Spring Serenade,1179T,"rgb(142,163,169)",#8EA3A9
Azure Like It,1180T,"rgb(124,148,156)",#7C949C
BLUE EYED SAILOR,1181A,"rgb(100,128,136)",#648088
RIVER GOD,1182A,"rgb(79,113,122)",#4F717A
Undersea Blue,1183A,"rgb(53,98,108)",#35626C
Twin Crystal,1184P,"rgb(186,200,205)",#BAC8CD
QUIET PEACE,1185P/T,"rgb(163,180,187)",#A3B4BB
Blue Dusk,1186T,"rgb(142,162,171)",#8EA2AB
Rhapsody in Blue,1187T,"rgb(126,147,157)",#7E939D
BABBLING CREEK,1188A,"rgb(102,129,140)",#66818C
DEEP EYES,1189A,"rgb(84,110,122)",#546E7A
Sea Adventure,1190A,"rgb(56,95,109)",#385F6D
Winsome Blue,1191P,"rgb(192,203,208)",#C0CBD0
Story Blue,1192T,"rgb(163,177,186)",#A3B1BA
Splash,1193T,"rgb(145,164,173)",#91A4AD
Cozy Blue,1194T,"rgb(125,146,158)",#7D929E
ELECTRIC SHOCK,1195A,"rgb(103,127,140)",#677F8C
PARADISE CITY,1196A,"rgb(83,110,123)",#536E7B
Adventure,1197A,"rgb(58,93,109)",#3A5D6D
Blue Frost,1198P,"rgb(190,201,208)",#BEC9D0
ICE LAND,1199P/T,"rgb(166,178,188)",#A6B2BC
North Island,1200T,"rgb(149,160,171)",#95A0AB
Meridian Blue,1201T,"rgb(125,141,155)",#7D8D9B
BLUE VISTA,1202A,"rgb(109,125,140)",#6D7D8C
SPLASHING POND,1203A,"rgb(82,105,122)",#52697A
Neptune’s Castle,1204A,"rgb(59,89,109)",#3B596D
Blue Horizon,1205P,"rgb(190,199,210)",#BEC7D2
SHALLOW SEA,1206P/T,"rgb(169,178,189)",#A9B2BD
Baby Porpoise,1207T,"rgb(147,159,174)",#939FAE
Tidal Wave,1208T,"rgb(128,143,158)",#808F9E
HALEY&#39;S COVE,1209A,"rgb(107,121,137)",#6B7989
OCEAN MELODY,1210A,"rgb(88,106,124)",#586A7C
Nautilous,1211A,"rgb(64,86,107)",#40566B
Evening Moon,1212P,"rgb(193,200,211)",#C1C8D3
JOB&#39;S TEARS,1213P/T,"rgb(174,178,191)",#AEB2BF
Blue Repose,1214T,"rgb(150,158,174)",#969EAE
Fragrant Flower,1215T,"rgb(136,143,160)",#888FA0
POLAR POND,1216A,"rgb(114,121,140)",#72798C
BERRY STAIN,1217A,"rgb(93,101,121)",#5D6579
Blueberry Ripple,1218A,"rgb(68,81,105)",#445169
Feathery,1219P,"rgb(171,191,193)",#ABBFC1
Ocean Spirit,1220T,"rgb(150,169,171)",#96A9AB
Gray Saturday,1221T,"rgb(136,156,158)",#889C9E
SILVER CHARM,1222T/A,"rgb(119,136,139)",#77888B
GROUNDED,1223A,"rgb(100,118,120)",#647678
Meteor,1224A,"rgb(82,99,102)",#526366
Blue Jet,1225A,"rgb(64,83,85)",#405355
Wintery Haven,1226P,"rgb(176,191,194)",#B0BFC2
Twirl,1227T,"rgb(154,172,176)",#9AACB0
Sphere,1228T,"rgb(139,155,159)",#8B9B9F
ZEN RETREAT,1229T/A,"rgb(121,136,141)",#79888D
SMOKY TONE,1230A,"rgb(101,119,124)",#65777C
Subtle Shadow,1231A,"rgb(81,99,102)",#516366
Night Moss,1232A,"rgb(64,84,88)",#405458
Simple Serenity,1233P,"rgb(179,193,199)",#B3C1C7
Blue Shoal,1234T,"rgb(159,171,177)",#9FABB1
Night Dove,1235T,"rgb(142,156,163)",#8E9CA3
BOTTLENOSE DOLPHIN,1236T/A,"rgb(123,136,144)",#7B8890
JUNGLE MIST,1237A,"rgb(104,119,125)",#68777D
Smudge Pot,1238A,"rgb(86,101,108)",#56656C
Pompeii,1239A,"rgb(68,83,89)",#445359
White Pickets,1240P,"rgb(175,187,193)",#AFBBC1
Morning Fog,1241T,"rgb(159,172,180)",#9FACB4
Blue Comfort,1242T,"rgb(138,152,160)",#8A98A0
STORM,1243T/A,"rgb(121,134,143)",#79868F
OVERCAST DAYS,1244A,"rgb(102,115,124)",#66737C
Urban Rock,1245A,"rgb(86,99,107)",#56636B
Splinter,1246A,"rgb(68,81,90)",#44515A
Whispering,1247P,"rgb(180,187,194)",#B4BBC2
Grimsby,1248T,"rgb(158,169,178)",#9EA9B2
Dancing in the Rain,1249T,"rgb(140,150,160)",#8C96A0
Rocky Ridge,1250T,"rgb(128,136,145)",#808891
GRAVEL ROAD,1251A,"rgb(106,116,125)",#6A747D
EVEREST BLUE,1252A,"rgb(89,99,108)",#59636C
Magic Noire,1253A,"rgb(70,80,89)",#465059
Igloo,1254P,"rgb(180,185,194)",#B4B9C2
Broken Shell,1255T,"rgb(158,167,177)",#9EA7B1
Smoke Screen,1256T,"rgb(142,149,160)",#8E95A0
OCEAN LINER,1257T/A,"rgb(124,132,143)",#7C848F
SMOKY WINGS,1258A,"rgb(106,115,125)",#6A737D
Dusk of Day,1259A,"rgb(86,96,106)",#56606A
Black as Night,1260A,"rgb(68,77,87)",#444D57
Perfect Pearl,1261P,"rgb(184,189,200)",#B8BDC8
Downy Dew,1262T,"rgb(162,167,178)",#A2A7B2
Greybeard,1263T,"rgb(140,146,157)",#8C929D
Slate Stone,1264T,"rgb(123,131,142)",#7B838E
SHINING ARMOR,1265A,"rgb(108,113,124)",#6C717C
FAT ALLEY CAT,1266A,"rgb(91,95,106)",#5B5F6A
Black Beard,1267A,"rgb(69,76,87)",#454C57
Berry Good,1268P,"rgb(222,223,226)",#DEDFE2
Gentle Violet,1269P,"rgb(214,215,227)",#D6D7E3
Lilac Brush,1270P,"rgb(195,199,222)",#C3C7DE
Scottish Thistle,1271P,"rgb(175,180,216)",#AFB4D8
Cape Plumbago,1272T,"rgb(147,156,203)",#939CCB
TAYLOR EYES,1273T/A,"rgb(111,129,184)",#6F81B8
Big Blue Star,1274A,"rgb(73,96,156)",#49609C
Lilac Glaze,1275P,"rgb(227,223,226)",#E3DFE2
Lavender Kisses,1276P,"rgb(218,214,226)",#DAD6E2
Softy Violets,1277P,"rgb(203,198,222)",#CBC6DE
Desert Life,1278P,"rgb(183,176,212)",#B7B0D4
Purple Path,1279T,"rgb(158,152,199)",#9E98C7
REGAL CLASSIC,1280T/A,"rgb(125,123,177)",#7D7BB1
Passion Purple,1281A,"rgb(89,87,147)",#595793
Amazing Space,1282P,"rgb(225,222,226)",#E1DEE2
Lavender Bubble,1283P,"rgb(224,216,227)",#E0D8E3
Field of Lavender,1284P,"rgb(207,196,222)",#CFC4DE
Purple Palace,1285P,"rgb(190,178,212)",#BEB2D4
Princess Purple,1286T,"rgb(167,154,199)",#A79AC7
PURPLE SEQUEL,1287T/A,"rgb(139,121,174)",#8B79AE
REGAL BLOOM,1288A,"rgb(102,86,142)",#66568E
Frosted Violet,1289P,"rgb(232,222,226)",#E8DEE2
Violet Dew,1290P,"rgb(224,212,224)",#E0D4E0
Lavender Veil,1291P,"rgb(216,196,219)",#D8C4DB
Slow Dance,1292P,"rgb(199,174,208)",#C7AED0
Venetian Violet,1293T,"rgb(178,150,193)",#B296C1
SWEETHEART BOUCHET,1294A,"rgb(152,120,170)",#9878AA
Majestic Violet,1295A,"rgb(121,85,139)",#79558B
Violet Pearl,1296P,"rgb(232,225,229)",#E8E1E5
Little Darling,1297P,"rgb(230,215,224)",#E6D7E0
Pink Cashmere,1298P,"rgb(224,199,220)",#E0C7DC
Pink Parade,1299P,"rgb(209,175,207)",#D1AFCF
Wildflower Bouquet,1300T,"rgb(186,143,185)",#BA8FB9
FROSTED PLUM,1301A,"rgb(162,115,165)",#A273A5
